2026-09-14 20:28:43.490 | INFO     | core.paper_trader:_record_position_mark:297 - Paper | MARK GTLB 2026-09-09 close=47.3385 unrl=+1.72% mtm=+$171.57 r=— status=trailing_stop bars=6 value=$10,171.57
2026-09-14 20:28:43.490 | INFO     | core.backtester:_close_trade:762 - Backtest | EXIT GTLB 1d reason=trailing_stop pnl=+1.51%
2026-09-14 20:28:43.490 | INFO     | core.paper_trader:_manage_position:746 - Paper | CLOSE GTLB reason=trailing_stop pnl=+1.51%
2026-09-14 20:28:43.599 | INFO     | core.paper_trader:_record_position_mark:297 - Paper | MARK JMIA 2026-09-09 close=7.5200 unrl=+6.36% mtm=+$636.49 r=— status=TRAILING bars=8 value=$10,636.49
2026-09-14 20:28:43.761 | INFO     | core.paper_trader:_record_position_mark:297 - Paper | MARK PLMR 2026-09-09 close=130.1934 unrl=-3.00% mtm=-$297.97 r=— status=trailing_stop bars=1 value=$9,634.31
2026-09-14 20:28:43.767 | INFO     | core.backtester:_close_trade:762 - Backtest | EXIT PLMR 1d reason=trailing_stop pnl=-3.20%
2026-09-14 20:28:43.767 | INFO     | core.paper_trader:_manage_position:746 - Paper | CLOSE PLMR reason=trailing_stop pnl=-3.20%
2026-09-14 20:28:43.893 | INFO     | core.paper_trader:_record_position_mark:297 - Paper | MARK HUHU 2026-09-09 close=4.1600 unrl=+7.96% mtm=+$796.46 r=— status=TRAILING bars=10 value=$9,203.54
2026-09-14 20:28:44.182 | INFO     | core.paper_trader:_record_position_mark:297 - Paper | MARK SNAL 2026-09-09 close=2.6400 unrl=-4.35% mtm=-$434.78 r=— status=TRAILING bars=2 value=$10,434.78
2026-09-14 20:28:44.210 | INFO     | core.scanner:_process_signal:985 - Signal | SNTI 1d | SELL | pattern=pattern_010_pennant | confidence=1.00
